a.d.	(缩)公元
alcoholism	n.嗜酒者，酒鬼
ale	n.淡啤酒
alert	adj.警惕的，灵活的
algebra	n.代数
alien	adj.异国的，异样的
alienate	v.疏远，转让，挪用
alienation	n.异化
alignment	n.对准，准线
alike	adj.相象的
alive	adj.活着的，有生命的
all	adj.所有的  n.一切
allergic	adj.过敏的，变态的
allergy	n.反感，过敏
alliance	n.联合，同盟
allied	adj.同盟的
allocate	v.分配
allocation	n.分配
allot	v.分配，配给
allotment	n.分配，份额
allow	v.允许，许可
allowance	n.补助，津贴
alloy	n.合金
ally	n.同盟者  v.结盟
almost	adv.几乎，差不多
alone	adj.单独的，仅仅
along	prep.沿着  adv.一起
alongside	prep.在...旁边
aloud	adv.大声地
alphabet	n.字母表
also	adv.也
alter	v.改变，变动
alternate	v.轮流，交替
alternation	n.改变，变更
alternative	n.v.两者取一
although	conj.虽然
altitude	n.高度
altogether	adv.全部地，总共
aluminum	n.铝
always	adv.总是，始终
amateur	adj.业余的
amaze	v.使惊叹
amazement	n.惊奇，诧异
ambassador	n.大使
ambient	adj.周围的，包围着的
ambiguity	n.歧义性，意义不明处
ambiguous	adj.模棱两可的
ambition	n.抱负，野心
ambitious	adj.雄心勃勃的
ambulance	n.救护车
amend	v.修改，更正
amendment	n.修改(通知书)
amends	n.赔偿
America	n.美国，美洲
American	adj.美国的  n.美国人
amiable	adj.和蔼的，亲切的
amicable	adj.友好的，和睦的
amid	prep.在...之间
ammunition	n.弹药
among	prep.在...之中
amount	n.数量，总数  v.合计
ampere	n.【电】安培
ample	adj.宽大的，充裕的
amplification	n.放大
amplifier	n.放大器，扩音机
amplify	v.详述，放大
amuse	v.逗乐，给娱乐
amusement	n.娱乐，乐趣
analogue	n.模拟，类似物
analogy	n.类似，类推
analysis	n.分析，分解
analytical	adj.分析的，解析的
analyze	v.分析，分解
ancestor	n.祖先，祖宗
anchor	n.锚  v.停泊
ancient	adj.古老的，古代的
and	conj.和，与，而
anecdote	n.轶事，轶闻
angel	n.天命，安琪儿
anger	n.生气，愤怒
angle	n.角，角度
angry	adj.生气的，愤怒的
angular	adj.角状的
animal	n.动物
animate	v.使有活力，激活
animation	n.生气，生机
ankle	n.踝，踝骨
annex	n.附录，附件
anniversary	n.周年纪念日
announce	v.宣布，通报
announcement	n.通知
announcer	n.播音员
annoy	v.烦扰，使生气
annoyance	n.烦恼，麻烦事
annual	adj.每年的，年度的
annually	adv.每年，年年
another	pron.prep.另一个
answer	n.答案  v.答复
ant	n.蚂蚁
antagonism	n.对立，敌对
antagonist	n.对手，敌手
Antarctic	adj.南极的
antecedent	n.触角，天线
antibiotic	adj.抗菌的
anticipate	v.期望，预料
anticipation	n.期望，预料
antique	adj.古老的  n.古玩
antonym	n.反义词
antonymous	adj.反义的
anxiety	n.焦虑，担心
anxious	adj.焦急的，切盼的
anxiously	adv.焦急地，急切地
any	adj.任何，一些
anybody	pron.任何人
anyhow	adv.无论如何
anyone	pron.无论谁
anything	pron.无论什么
anyway	adv.不管怎样
anywhere	adv.无论何地
apart	adv.分离，隔开
apartment	n.套房，公寓
ape	n.猿猴
apologize	v.道歉
apology	n.道歉
apparatus	n.仪器，设备
apparent	adj.明显的，表面上的
apparently	adj.显然，似乎
appeal	v.n.呼吁，上诉
appealing	adj.有吸引力的
appear	v.出现，好象
appearance	n.出现，外表
appendix	n.附录，盲肠
appetite	n.食欲，欲望
applaud	v.称赞，拍手喝彩
applause	n.喝彩，欢呼
apple	n.苹果
appliance	n.用具，器械
applicable	adj.生动的，适用的
applicant	n.申请人
application	n.申请，应用
apply	v.应用，申请
appoint	v.任命，约定
appointment	n.任命，约会
appreciable	adj.可看到的
appreciably	adv.相当大地
appreciate	v.欣赏，感激
appreciation	n.欣赏，感激
appreciative	adj.感激的
apprentice	n.学校
apprize	v.通知
approach	v.接近  n.途径
appropriate	adj.恰当的  v.拨给
approval	n.同意，批准
approve	v.赞成，批准
approximate	adj.v.近似，约略
approximately	adv.近乎，大约
approximation	n.近似值
April	n.四月
apt	adj.恰当的，易于..的
aptitude	n.才智，天资
Arab	n.阿拉伯
Arabian	n.阿拉伯人，阿拉伯语
Arabic	adj.阿拉伯的
arbitrary	adj.专横的，任意的
arbitrate	v.仲裁
arbitration	n.仲裁
arbitrator	n.仲裁员
arc	n.弧
arch	n.拱门，弓形
archaeologist	n.考古学家
archaeology	n.考古学
architect	n.建筑师
architecture	n.建筑学
arctic	adj.北极的
ardent	adj.热心的，强烈的
arduous	adj.艰巨的，努力的
area	n.地区，面积，领域
arena	n.竞技场
argue	v.争论，辩论
argument	n.争论，论点
arise	v.起来，出现
aristocracy	n.贵族阶层
aristocrat	n.贵族
aristocratic	adj.贵族的
arithmetic	n.算术
arm	n.手臂，扶手  v.武装
armchair	n.手扶椅
armor	n.盔甲，装甲
arms	n.武器
army	n.军队，陆军
around	adv.在周围，大约
arouse	v.唤醒，唤起
arrange	v.整理，安排
arrangement	n.安排，计划
array	v.装扮，排列
arrear	n.欠款
arrest	v.逮捕，吸引
arrival	n.到达，到货
arrive	v.到达，达到
arrogance	n.傲慢
arrogant	adj.傲慢的
arrogantly	adv.傲慢地
arrow	n.箭，箭头
art	n.艺术，技艺
article	n.文章，物品，冠词
artificial	adj.人造的，假的
artist	n.艺术家
artistic	n.艺术的
as	adv.一样  prep.作为
ascend	v.登，上升
ascertain	v.查明，弄清
ascribe	v.归于
ASEAN	n.(缩)东盟
ash	n.灰，灰烬
ashamed	adj.惭愧的，羞耻的
ashore	adv.在岸上，上岸
ashtray	n.烟灰缸
Asia	n.亚洲
Asian	adj.亚洲的  n.亚洲人
aside	adv.在旁边，搁在一边
ask	v.问，要求，邀请
asleep	adj.睡着的
aspect	n.容貌，方面
aspirin	n.阿斯匹林
ass	n.驴，愚蠢的人
assassinate	v.暗杀
assassination	n.暗杀
assassinator	n.暗杀者
assault	v.袭击，攻击
assemble	v.集合，装配
assembly	n.集合，装配
assert	v.断言，宣称
assertion	n.断言
assess	v.评定，估价
assessment	n.估值，评价
assign	v.分配，指定
assignment	n.任务，作业
assist	v.协助
assistance	n.协助，辅助
assistant	n.助手
associate	v.联想  adv.副的
associated	adj.联合的
association	n.协会，合营
associative	adj.联想的
assorted	adj.各种各样的
assortment	n.花色品种
assume	v.假定，担任
assumption	n.假定，假装
assurance	n.自信，保证
assure	v.使..放心，向..保证
assured	adj.感到放心的
astonish	v.使惊讶
astonishment	n.惊讶
astound	v.使惊讶
astray	adv.(信件)遗失、误传
astronaut	n.宇宙飞行员
astronomer	n.天文学家
astronomical	adj.天文学的
astronomy	n.天文学
at	prep.在，处于，以
athlete	n.田径运动员
athletic	adj.田径的
Atlantic	n.adj.大西洋(的)
atlas	n.地图集
atmosphere	n.大气，气氛
atmospheric	adj.大气的，空气的
atom	n.原子，微粒
atomic	adj.原子的，原子能的
attach	v.附着于，依恋
attachment	n.依附，附件，爱慕
attack	v.n.进攻，侵袭
attain	v.赢得，到达
attempt	v.n.尝试，企图
attend	v.出席，照顾
attendance	n.出勤(率)，出席
attendant	n.随从，服务员
attention	n.注意，关心
attentive	adj.注意的，关心的
attentively	adv.关心地
attic	n.阁楼
attitude	n.态度，看法
attorney	n.辩护律师
attract	v.吸引，引力
attraction	adj.有吸引力的
attributable	adj.归于...的
attribute	v.属于  n.属性
attribution	n.属于
attributive	adj.定语的，属性的
auction	n.拍卖
audience	n.听众，观众
auditorium	n.礼堂
august	n.八月
aunt	n.伯(婶、姨、姑)母
aural	adj.听觉的，耳的
auspice	n.赞助，主办
Australia	n.澳大利亚
Australian	adj.澳大利亚的
author	n.作者，创造者
authority	n.权力，权威
authorization	n.授权
authorize	v.授权，批准
autobiography	n.自传
automate	v.自动化
automatic	adj.自动的
automation	n.自动化
automobile	n.汽车
autonomous	adj.自治的
autonomy	n.自治
autumn	n.秋天
auxiliary	adj.辅助的，补助的
avail	v.帮助，有用  n.效用
availability	n.可用性，可供货
available	adj.可得到的
avenge	v.报复
avenue	n.林荫道，途径
average	adj.平均的  n.平均数
averagely	adv.平均
aviation	n.航空
avoid	v.避免，逃避
await	v.等候，等待
awake	v.醒来,醒悟  adj.醒的
awaken	adj.醒着的
award	v.授予  n.奖，奖品
aware	adj.知道的，意识到的
away	adv.去，远离，在远处
awe	n.威惧
awesome	adj.可怕的
awful	adj.令人畏惧的
awfully	adv.可怕地，非常
awkward	adj.笨拙的，不熟练的
awkwardly	adv.笨拙地
awkwardness	n.笨拙
ax	n.斧子
axial	adj.轴的，轴向的
axis	n.轴，轴线，轴心
axle	n.(轮)轴
b.c.	(缩)公元前
baby	n.婴儿，年龄最小的人
baby-sit	v.(替人)看护小孩
baby-sitter	n.看护小孩的人
bachelor	n.单身汉，学士
back	n.背  adj.背后的
backbone	n.脊梁骨
backdate	v.回溯
background	n.背景，经历
backing	n.倒退，支持物
backlog	n.未交付的订货
backward	adv.向后，逆
backwardness	n.落后(状态)
bacon	n.咸肉，熏肉
bacterium	n.细菌
bad	adj.坏的，低劣的
badge	n.徽章
badly	adv.坏，非常，严重地
badminton	n.羽毛球
baffle	v.困扰，难倒
bag	n.袋子，提包
baggage	n.行李
baggy	adj.袋状的
bait	n.饵，诱饵
bake	v.烤，烘
baker	n.面包师
bakery	n.面包店
balance	n.平衡，天平，余额
balcony	n.阳台
bald	adj.秃的
ball	n.球，球状物，舞会
ballet	n.芭蕾舞
balloon	n.气球
ballooning	n.热气球飞行运动
ball-point  pen	n.圆珠笔
ballroom	n.舞厅
bamboo	n.竹
bamboo-shoot	n.竹笋
banana	n.香蕉
band	n.乐队，带子  v.联合
bandage	n.绷带
bandit	n.盗匪，歹徒
bang	n.v.砰的一响
bank	n.岸，银行
banker	n.银行家
banking	n.银行业务、金融业
bankrupt	n.v.adj.破产
banner	n.旗帜，横幅
banquet	n.宴会
bar	n.棒，杆，酒吧
barber	n.理发师
bare	adj.裸的，直率的
barely	adv.赤裸裸地
bargain	n.交易，便宜货
barge	n.驳船
bark	n.狗吠，树皮  v.吠
barn	n.谷仓，牲口棚
barometer	n.晴雨表，标记
baron	n.男爵
baroness	n.男爵夫人，女男爵
barrel	n.桶，枪(炮)管
barren	adj.不育的，贫瘠的
barrier	n.障碍，壁垒
barter	n.易货贸易
base	n.基础，基地  v.基于
baseball	n.棒球
basement	n.地下室，地窖
basic	adj.基本的，基础的
basically	adv.基本上，主要地
basin	n.盆，盆地
basis	n.基础，根据
basket	n.篮子，筐
basketball	n.篮球
bat	n.球拍，蝙蝠  v.击打
bath	n.洗澡，浴室
bathe	v.洗澡，冲洗
bathroom	n.浴室，洗手间
batter	v.打击
battery	n.电池
battle	n.战斗，战役
bay	n.海湾，湾
bazaar	n.集市
be	v.是，存在
beach	n.海滩，湖滨
bead	n.有孔小珠
beak	n.鸟嘴
beam	n.梁，射线  v.发光
bean	n.豆子
bear	v.负担，忍受，生育
bearing	n.举止，意义，轴承
bearish	adj.熊市的
beast	n.野兽，牲畜
beat	v.打，击败  n.击打
beautiful	adj.美丽的，绝妙的
beauty	n.美，美女
because	conj.因为，由于
become	v.变成
bed	n.床，河床，苗圃
bedroom	n.卧室
bee	n.蜜蜂
beef	n.牛肉
beer	n.啤酒
beetle	n.甲虫
before	prep.在...前面
beforehand	adv.事先，预先
beg	v.乞讨，恳求
beggar	n.乞丐
begin	v.开始，着手进行
beginner	n.初学者
beginning	n.开端，起点
behalf	n.代表
behave	v.行为，举动
behavior	n.行为，举止
behind	prep.在...后面
behindhand	adj.落后，事后
being	n.生物，存在
belief	n.信仰，信心
believe	v.相信，认为
bell	n.钟，铃
belly	n.肚子
belong	v.属于
beloved	adj.敬爱的  n.爱人
below	adj.prep.在...下面
belt	n.带，腰带
bench	n.长凳，工作台
bend	v.弯曲，俯身  n.拐弯
beneath	prep.在...之下
beneficial	adj.有益的，有利的
beneficiary	n.受益者
benefit	n.益处，利益
benevolence	n.慈悲，捐助
benevolent	adj.乐善好施的
bent	adj.弯曲的
berry	n.浆果
beside	prep.在...之旁
besides	adj.而且  prep...之外
best	adj.最好的
bestow	v.赠给，授予
best-seller	n.畅销书(货)
best-selling	adj.畅销的
bet	n.v.打赌
betray	v.背叛，泄露
betrayal	n.背叛，暴露
better	adj.更好的  adv.较好
better-off	adj.经济情况较好的
between	prep.在两者之间
beverage	n.饮料
beware	v.当心
bewilder	v.迷惑，茫然
beyond	prep.在...那边，超出
bias	n.偏好
bible	n.圣经
bicycle	n.自行车
bid	n.v.报价，投标
bidding	n.投标
big	adj.大的，重大的
bike	n.自行车
bill	n.帐单，议案，钞票
billion	n.十亿
bind	v.捆绑，约束
binding	n.装订
biographer	n.传记记者
biography	n.传记
biologist	n.生物学家
biology	n.生物学
bird	n.鸟
birth	n.出生，创始
birthday	n.生日，诞辰
birthplace	n.出生地
biscuit	n.饼干
bishop	n.主教
bit	n.小片，一点
bite	n.v.咬，叮  n.一口
bitter	adj.苦的，痛苦的
bitterly	adv.惨痛地，辛酸地
bitterness	n.苦味，苦难
black	adj.黑的  n.黑色
blackboard	n.黑板
blacksmith	n.铁匠
blade	n.刀刃，叶片
blame	v.责备  n.过失
blank	adj.空白的  n.空格
blanket	n.毛毯
blast	n.阵风  v.爆炸
blaze	n.火光，光亮
bleach	v.漂白，变白
bleed	v.出血，流血
blend	v.混合，掺混
bless	v.保佑，祝福
blessing	n.祝福
blind	adj.瞎的  v.使失明
blink	adj.眨眼，闪烁
block	n.大块，街区，障碍物
blockage	n.封锁
blond	adj.金发的
blood	n.血，血统
bloody	adj.流血的，残忍的
bloom	n.花  v.开花
blossom	n.(果树的)花
blot	n.污迹
blouse	n.女衫
blow	v.吹，吹掉，刮风
blue	adj.蓝色的，忧郁的
blunder	n.大错
blunt	adj.钝的，生硬的
blush	v.脸红，害臊
blushy	adj.害羞的
board	n.木板，伙食，董事会
boarding	n.伙食
boast	v.夸口，以...而自豪
boat	n.小船，艇
body	n.身体，尸体，团体
bodyguard	n.保镖
boil	v.沸腾，煮沸
boiler	n.锅炉
boiling	adj.沸腾的
bold	adj.大胆的
boldness	n.胆略
bolt	n.螺检，插销  v.闩门
bomb	n.炸弹  v.轰炸
bomber	n.轰炸机
bona  fide	adj.真诚的，无欺的
bond	n.束缚，联结，债券
bonded	adj.保税的
bone	n.骨，骨骼
bonus	n.红利
bony	adj.骨头的
book	n.书  v.预订(票)
bookcase	n.书橱
booking	adj.定货
booklet	n.小册子
bookshelf	n.书架
bookstore	n.书店
boom	v.隆隆响，兴旺，繁荣
booming	adj.兴旺的，繁荣的
boost	v.抬高，促进
boot	n.靴子
booth	n.货摊，电话亭
border	n.国界，边境
bore	v.烦扰，使厌烦，钻孔
boring	adj.讨厌的
born	adj.出生的，天生的
borrow	v.借，借用
borrowings	n.借款
bosom	n.胸，胸怀
boss	n.上司，老板
bossy	adj.好发号施令的
both	pron.adj.双方，两
bother	v.打扰，麻烦  n.麻烦
bottle	n.瓶子
bottle-neck	n.影响...的环节
bottom	n.底部，末尾
bottom-line	n.末行数字，结果
bough	n.大树枝
bounce	v.跳起  n.跳跃
bound	v.缚，以...为界
boundary	n.界线，边界
bourgeois	n.资产阶级分子
bow	v.鞠躬，服从  n.弓
bowl	n.碗，钵
bowling	n.保龄球
box	n.箱，盒  v.拳击
boxer	n.拳击运动员
boxing	n.拳击
boxing-day	n.节礼日
boy	n.男孩，小伙子
boycott	v.n.抵制
brace	n.支撑  v.激励
bracket	n.括号
brag	v.吹嘘，夸口
brain	n.脑子，头脑，智能
brake	n.  制动器  v.刹车
branch	n.树枝，分支，分部
brand	n.牌子，商标
brandy	n.白兰地
brass	n.黄铜
brave	adj.勇敢的  v.冒着
bravely	adv.勇敢地
bravery	n.勇敢
brazil	n.巴西
Brazilian	adj.n.巴西的(人)
breach	n.违反(契约)
bread	n.面包，生计
bread-earner	n.挣钱养家的人
breadth	n.宽度，大量
break	n.打破，破坏  n.裂口
breakage	n.裂口
breakdown	n.故障，衰竭
breakfast	n.早饭
breakthrough	n.突破
breast	n.乳房，胸脯
breath	n.呼吸，气息
breathe	v.呼吸
breed	v.繁殖，饲养  n.品种
breeze	n.微风
bribe	v.贿赂
bribery	v.贿赂
brick	n.砖
bride	n.新娘
bridegroom	n.新郎
bridge	n.桥梁，桥牌
bridle	n.约束  v.抑制
brief	adj.简短的
briefing	n.简要情况
briefly	adv.简单地，简短地
bright	adj.明亮的，鲜明的
brighten	v.使发光
brightness	n.光辉，明亮
brilliance	n.辉煌，光彩
brilliant	v.辉煌的，杰出的
brim	n.边，边缘
bring	v.拿来，带来
brink	n.边缘
brisk	adj.敏捷的，活跃的
bristle	n.鬃毛
britain	n.不列颠，英国
British	adj.英国的，英属的
brittle	adj.易碎的，脆的
broad	adj.宽的，辽阔的
broadcast	v.n.广播
broadcasting	n.广播节目
broaden	v.加宽，扩大
brochure	n.产品介绍手册
broken	adj.破碎的，毁坏了的
broker	n.经纪人
bronze	n.青铜
brood	n.一窝
brook	n.小河，溪流
broom	n.扫帚
brother	n.兄弟，同胞
brotherhood	n.兄弟情谊
brother-in-law	n.姻兄(弟)
brow	n.眉毛，额
brown	n.adj.褐色(的)
bruise	n.青肿  v.打伤
brush	n.刷子，画笔  v.刷
brutal	adj.野蛮的
brute	n.禽兽，畜生
bubble	n.气泡
bucket	n.水桶
bud	n.芽，蓓蕾
Buddhism	n.佛教
Buddhist	n.佛教徒
budget	n.预算
buffalo	n.水牛，野牛
buffet	n.冷餐
bug	n.臭虫，虫子
bugle	n.喇叭
build	v.建造，建设
builder	n.建筑工人，建设者
building	n.建筑物，大楼
bulb	n.球形物，灯泡
bulk	n.体积，大半
bulky	adj.庞大的，笨重的
bull	n.公牛
bullet	n.子弹
bulletin	n.公报
bullion	n.金块，金条
bullish	adj.行情看涨的
bump	v.碰，颠簸  n.碰撞
bumpy	adj.颠簸不平的
bunch	n.一束
bundle	n.v.捆，包
burden	n.担子，负担
burdensome	adj.沉重的
bureau	n.局，司，办公室
bureaucracy	n.官僚主义
bureaucratic	adj.官僚主义的
burglar	n.夜盗，窃贼
burglary	n.盗窃
burial	n.埋葬
burn	v.烧，燃烧，烧伤
burner	n.喷灯
burnt	adj.烧焦的，烧坏的
burst	v.n.爆炸，破裂
bury	v.掩埋，安葬
bus	n.公共汽车
bush	n.灌木
bushel	n.蒲式耳(重量单位)
business	n.行业，买卖，商号
businesslike	adj.事务式的
busy	adj.忙碌的，热闹的
but	prep.但是，除了
butcher	n.屠夫  v.屠宰
butchery	n.肉食店
butt	n.根端  v.顶撞
butter	n.黄油
butterfly	n.蝴蝶
button	n.钮扣，按钮
buy	v.买，购买
buyer	n.购买者
buzz	v.嗡嗡叫  n.嗡嗡声
by	prep.在...旁边，按照
bygone	n.已往的，过时的
bypass	n.旁道，分路
by-product	n.副产品
coach	n.客车，教练
ireland	n.爱尔兰
irish	n.adj.爱尔兰人(的)
neither	conj.既不...又不…
nephew	n.侄子，外甥
醒悟  adj.醒的	
cab	n.出租汽车
cabbage	n.卷心菜；圆白菜
cabin	n.小屋，船舱
cabinet	n.橱柜，内阁
cable	n.电缆，海底电报
cafe	n.咖啡馆
cafeteria	n.自助餐厅
cage	n.笼子，鸟笼
cake	n.糕，饼
calculate	v.计算，估计
calculation	n.计算(结果)
calculus	n.微积分
calendar	n.日历
calf	n.小牛，腿肚子
calibration	n.刻度，核定
call	v.叫，称为，打电话
calm	adj.宁静的，镇静的
calmly	adv.平静地，沉着地
calorie	n.热卡，卡路里
camel	n.骆驼
camera	n.照相机
camp	n.帐篷，野营  n.宿营
campaign	n.战役，运动
camping	n.野营
campus	n.校园
can	v.aux.能，会，可以
Canada	n.加拿大
Canadian	adj.n.加拿大的(人)
canal	n.运河，渠道
canary	n.金丝雀
cancel	v.删除，取消
cancellation	n.删除，取消
cancer	n.癌
candid	adj.坦白的，直率的
candidate	n.候选人
candle	n.蜡烛
candy	n.糖果
cane	n.手杖，(藤、竹的)茎
canned	adj.罐装的
cannon	n.大炮
canoe	n.独木舟，游艇
canon	n.规范，准则
canteen	n.食堂
canvas	n.帆布，画布
canvass	v.游说
cap	n.帽子，盖子  v.覆盖
capability	n.才能，能力
capable	adj.有能力的
capacity	n.容量，容积，资格
cape	n.披肩，岬，海角
capita	n.人
capital	n.首都，资本
capital-intensive	adj.资本密集型的
capitalism	n.资本主义
capitalist	adj.资本主义的
capitalization	n.资本化
capitalize	v.大写，资本化
captain	n.队长，船长，上尉
caption	n.标题
captive	adj.被俘虏的  n.俘虏
capture	v.n.俘获，捉拿
car	n.小汽车
caravan	n.车队，大蓬车
carbon	n.碳，复写纸
card	n.卡片，纸牌，名片
cardboard	n.硬纸板
cardinal	adj.主要的
care	n.注意，小心  v.关心
career	n.职业，生涯
careful	adj.小心的，仔细的
careless	adj.粗心的，不关心的
carelessness	n.粗心
cargo	n.货物
carol	n.颂歌
carpenter	n.木匠
carpet	n.地毯
carriage	n.马车，(火车)车厢
carrier	n.运载工具，媒介
carrot	n.胡萝卜
carry	v.搬运，携带
cart	n.手推车
carton	n.纸箱
cartoon	n.漫画，动画片
cartridge	n.弹仓
carve	v.雕刻，切
carving	n.雕塑
case	n.事实，案例，箱子
cash	n.现金  v.兑现
cashier	n.出纳
cassette	n.小盒，磁盘盒
cast	v.掷，投射，铸造
castle	n.城堡
casual	adj.偶然的，随便的
casualty	n.伤亡
cat	n.猫
catalog	n.(商品)目录
catastrophe	n.灾难
catalyst	n.催化剂
catch	v.捕获，染病  n.捉
category	n.种类，范畴
cater	v.提供
cathedral	n.大教堂
catholic	adj.天主教的
cattle	n.牛(总称)
cause	n.原因，理由，事业
caution	n.谨慎，告诫
cautious	adj.谨慎的，当心的
cavalry	n.骑兵，马术
cave	n.洞穴，山洞
cavern	n.酒馆
cavity	n.坑，孔穴
cease	v.停止，平息
ceiling	n.天花板
celebrate	v.庆祝
celebration	n.庆祝仪式
celery	n.芹菜
cell	n.细胞，牢房，电池
cellar	n.地窖，地下室
cement	n.水泥
cemetery	n.墓场
censor	v.审查
